Channel ID,Channel URL,Channel title
UC_BrkoB_8x7QVHdrIWy7nMQ,https://www.youtube.com/channel/UC_BrkoB_8x7QVHdrIWy7nMQ,"Mathan's Journey"
UC_gSotrFVZ_PiAxo3fTQVuQ,https://www.youtube.com/channel/UC_gSotrFVZ_PiAxo3fTQVuQ,"Magnus Midtbø"
UC_iUeUzozCHEReJ-shKcCYA,https://www.youtube.com/channel/UC_iUeUzozCHEReJ-shKcCYA,"Internet Anarchist"
UCaWv5hdWKJeuLrPAbISnssg,https://www.youtube.com/channel/UCaWv5hdWKJeuLrPAbISnssg,"JP Motion Pictures"
UCaqcvH8EvUtePORpN03jLMg,https://www.youtube.com/channel/UCaqcvH8EvUtePORpN03jLMg,"Intelligence Squared"
UCb1Ti1WKPauPpXkYKVHNpsw,https://www.youtube.com/channel/UCb1Ti1WKPauPpXkYKVHNpsw,"LBC"
UCbaAyXYMnbQu0BGGPbvxHsw,https://www.youtube.com/channel/UCbaAyXYMnbQu0BGGPbvxHsw,"Chris Boden"
UCbq544I2cTyvcrZwmnSIj9Q,https://www.youtube.com/channel/UCbq544I2cTyvcrZwmnSIj9Q,"Plip Plip"
UCc8AuEDxwSWFQP8ti0xfEJg,https://www.youtube.com/channel/UCc8AuEDxwSWFQP8ti0xfEJg,"Dr. Sabarinath Ravichandar"
UCc9k-GSEeOkA_VlwhWfi0_A,https://www.youtube.com/channel/UCc9k-GSEeOkA_VlwhWfi0_A,"rjsrishtii5 "
UCcyq283he07B7_KUX07mmtA,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA,"Business Insider"
UCd5Os4gT74gxngzUYqGUzzg,https://www.youtube.com/channel/UCd5Os4gT74gxngzUYqGUzzg,"Suraj Kumar"
UCdNdq31oz-Gcfcce5ueMR2Q,https://www.youtube.com/channel/UCdNdq31oz-Gcfcce5ueMR2Q,"Ganesha Astrohelp Understand Astrology"
UCdvR0U-oCIoIlpSSErO8A5w,https://www.youtube.com/channel/UCdvR0U-oCIoIlpSSErO8A5w,"Tamanna Sharma"
UCe6ye3l9WA4SdNkqgs0YeMA,https://www.youtube.com/channel/UCe6ye3l9WA4SdNkqgs0YeMA,"QI"
UCeCN-B9Q-6011cE3nx5CtNA,https://www.youtube.com/channel/UCeCN-B9Q-6011cE3nx5CtNA,"Canadian Trucker Couple"
UCenxjWEkb0Sv67vejOgZ3Tg,https://www.youtube.com/channel/UCenxjWEkb0Sv67vejOgZ3Tg,"Open to Debate"
UCevQIQJht1iUyI9c5ELZ8RA,https://www.youtube.com/channel/UCevQIQJht1iUyI9c5ELZ8RA,"Kee and Kha - Vlogs"
UCf4YizfEQiftTFR4qbvb5Qw,https://www.youtube.com/channel/UCf4YizfEQiftTFR4qbvb5Qw,"Ladykracher"
UCf9BO33b-MnIxB5y0azrxmg,https://www.youtube.com/channel/UCf9BO33b-MnIxB5y0azrxmg,"Jimmy Carr"
UCfk4Df9QxO267wlFbStSyAw,https://www.youtube.com/channel/UCfk4Df9QxO267wlFbStSyAw,"Boxoffice Movie Scenes"
UCfp_KL9fMARFv7STuZswogA,https://www.youtube.com/channel/UCfp_KL9fMARFv7STuZswogA,"KL With TN"
UCfxFsg2KOpgXq2GiEb2Vk0A,https://www.youtube.com/channel/UCfxFsg2KOpgXq2GiEb2Vk0A,"INDIAN IN RUSSIA "
UCgbzclo4Mfy_D68w_Bm_xHg,https://www.youtube.com/channel/UCgbzclo4Mfy_D68w_Bm_xHg,"Tried&Refused Productions."
UCgilhqoyZrXV2EBlaaAtVaw,https://www.youtube.com/channel/UCgilhqoyZrXV2EBlaaAtVaw,"Nomadic Indian"
UCgtNWWCk8QhqK-pvFbn-wLw,https://www.youtube.com/channel/UCgtNWWCk8QhqK-pvFbn-wLw,"Lavanya Dheepan"
UCh_GQqobenO55IJ9sYZWndA,https://www.youtube.com/channel/UCh_GQqobenO55IJ9sYZWndA,"SRF Kultur Sternstunden"
UChirEOpgFCupRAk5etXqPaA,https://www.youtube.com/channel/UChirEOpgFCupRAk5etXqPaA,"Bloomberg News"
UChuHXx5Yursi4D1JdIU93XA,https://www.youtube.com/channel/UChuHXx5Yursi4D1JdIU93XA,"Siva Cinemas "
UCi7piZmMfCPsM7RwXk-WTIg,https://www.youtube.com/channel/UCi7piZmMfCPsM7RwXk-WTIg,"Empty Hand Shorts"
UCieoX2aGYzzxKXk5i57zPcQ,https://www.youtube.com/channel/UCieoX2aGYzzxKXk5i57zPcQ,"WINGSANDRAILS"
UCijh2e0C7L4haTJIvgLzRXA,https://www.youtube.com/channel/UCijh2e0C7L4haTJIvgLzRXA,"First Tamil"
UCixD9UbKvDxzGNiPC_fgHyA,https://www.youtube.com/channel/UCixD9UbKvDxzGNiPC_fgHyA,"Paolo fromTOKYO"
UCj7ADiT-RzESYpAd90OeEKA,https://www.youtube.com/channel/UCj7ADiT-RzESYpAd90OeEKA,"DarrenLevyOfficial"
UCjZFrboJBq8HJzPKzQeiVlQ,https://www.youtube.com/channel/UCjZFrboJBq8HJzPKzQeiVlQ,"Shalini Haridoss"
UCjzcAEdtPjSo3hRrhVnVaQg,https://www.youtube.com/channel/UCjzcAEdtPjSo3hRrhVnVaQg,"MySpass Classics"
UCk4T7MXQI5_UP2Vr-Dk-RiA,https://www.youtube.com/channel/UCk4T7MXQI5_UP2Vr-Dk-RiA,"Moon Trendz"
UCk579PPZcfzD0I0vyXQFttA,https://www.youtube.com/channel/UCk579PPZcfzD0I0vyXQFttA,"Lorry Diaries "
